Name,Year,Rating,Date,username
Fight Club,1999.0,1.0,2023-10-25,aaronmbtw
Se7en,1995.0,0.8888888888888888,2023-10-25,aaronmbtw
All About My Mother,1999.0,0.7777777777777778,2023-10-25,aaronmbtw
Suzume,2022.0,0.6666666666666666,2023-10-25,aaronmbtw
Memento,2000.0,0.7777777777777778,2023-10-25,aaronmbtw
The Queen's Gambit,2020.0,0.8888888888888888,2023-10-25,aaronmbtw
Call Me by Your Name,2017.0,0.6666666666666666,2023-10-25,aaronmbtw
The Hunger Games: Mockingjay – Part 2,2015.0,0.7777777777777778,2023-10-25,aaronmbtw
Inside Out,2015.0,0.6666666666666666,2023-10-25,aaronmbtw
Blade Runner,1982.0,0.4444444444444444,2023-10-25,aaronmbtw
It's a Wonderful Life,1946.0,0.1111111111111111,2023-10-25,aaronmbtw
NANA,2006.0,1.0,2023-10-27,aaronmbtw
Pain and Glory,2019.0,0.8888888888888888,2023-10-28,aaronmbtw
The Hunger Games: Mockingjay – Part 1,2014.0,0.7777777777777778,2023-10-28,aaronmbtw
The Devil Wears Prada,2006.0,0.6666666666666666,2023-10-28,aaronmbtw
Frozen,2013.0,0.7777777777777778,2023-10-28,aaronmbtw
The Hunger Games: The Ballad of Songbirds & Snakes,2023.0,0.7777777777777778,2023-11-18,aaronmbtw
Akira,1988.0,0.4444444444444444,2023-11-25,aaronmbtw
Isle of Dogs,2018.0,0.5555555555555556,2023-12-02,aaronmbtw
The Messiah,2023.0,1.0,2023-12-12,aaronmbtw
"Red, White & Royal Blue",2023.0,0.4444444444444444,2023-12-17,aaronmbtw
Taylor Swift: The Eras Tour,2023.0,0.5555555555555556,2023-12-17,aaronmbtw
Hereditary,2018.0,0.5555555555555556,2023-12-17,aaronmbtw
Lady Bird,2017.0,0.4444444444444444,2023-12-17,aaronmbtw
Saltburn,2023.0,0.7777777777777778,2023-12-23,aaronmbtw
The Killer,2023.0,0.7777777777777778,2023-12-29,aaronmbtw
Perfect Blue,1997.0,1.0,2023-12-30,aaronmbtw
Interstellar,2014.0,1.0,2024-01-04,aaronmbtw
Arrival,2016.0,0.8888888888888888,2024-01-04,aaronmbtw
Babylon,2022.0,0.5555555555555556,2024-01-05,aaronmbtw
Leave the World Behind,2023.0,0.5555555555555556,2024-01-06,aaronmbtw
Gone Girl,2014.0,0.7777777777777778,2024-01-06,aaronmbtw
Frozen II,2019.0,0.4444444444444444,2024-01-06,aaronmbtw
Aftersun,2022.0,0.4444444444444444,2024-01-12,aaronmbtw
Spider-Man: Across the Spider-Verse,2023.0,0.5555555555555556,2024-01-12,aaronmbtw
"Crazy, Stupid, Love.",2011.0,0.3333333333333333,2024-01-25,aaronmbtw
A Perfect Story,2023.0,0.6666666666666666,2024-01-25,aaronmbtw
Society of the Snow,2023.0,0.6666666666666666,2024-01-27,aaronmbtw
Priscilla,2023.0,0.5555555555555556,2024-02-15,aaronmbtw
Chicago,2002.0,0.6666666666666666,2024-02-18,aaronmbtw
Hairspray,2007.0,1.0,2024-02-24,aaronmbtw
Alphaville,1965.0,0.2222222222222222,2024-02-25,aaronmbtw
The Holdovers,2023.0,1.0,2024-03-07,aaronmbtw
Poor Things,2023.0,0.8888888888888888,2024-03-07,aaronmbtw
Coco,2017.0,0.6666666666666666,2024-03-10,aaronmbtw
Eternal Sunshine of the Spotless Mind,2004.0,0.4444444444444444,2024-03-16,aaronmbtw
Veronica,2017.0,0.0,2024-03-18,aaronmbtw
The Perks of Being a Wallflower,2012.0,1.0,2024-03-23,aaronmbtw
Dune,2021.0,0.8888888888888888,2024-03-25,aaronmbtw
Dune: Part Two,2024.0,0.8888888888888888,2024-03-29,aaronmbtw
All of Us Strangers,2023.0,0.7777777777777778,2024-04-15,aaronmbtw
Brokeback Mountain,2005.0,0.7777777777777778,2024-04-25,aaronmbtw
The House That Jack Built,2018.0,1.0,2024-04-27,aaronmbtw
SPY x FAMILY CODE: White,2023.0,0.3333333333333333,2024-05-01,aaronmbtw
Challengers,2024.0,0.5555555555555556,2024-05-02,aaronmbtw
Elemental,2023.0,0.7777777777777778,2024-05-08,aaronmbtw
Zip & Zap and the Captain's Island,2016.0,0.1111111111111111,2024-05-11,aaronmbtw
The Idea of You,2024.0,0.4444444444444444,2024-06-08,aaronmbtw
Inside Out 2,2024.0,0.6666666666666666,2024-06-22,aaronmbtw
Anyone But You,2023.0,0.5555555555555556,2024-06-27,aaronmbtw
About Time,2013.0,0.6666666666666666,2024-07-05,aaronmbtw
"Love, Divided",2024.0,0.1111111111111111,2024-07-05,aaronmbtw
Twilight,2008.0,0.1111111111111111,2024-07-05,aaronmbtw
Howl's Moving Castle,2004.0,0.7777777777777778,2024-07-23,aaronmbtw
The Boy and the Heron,2023.0,0.2222222222222222,2024-08-07,aaronmbtw
Longlegs,2024.0,0.7777777777777778,2024-08-08,aaronmbtw
Barbie,2023.0,0.6666666666666666,2024-08-10,aaronmbtw
Oppenheimer,2023.0,0.8888888888888888,2024-08-10,aaronmbtw
Banana Fish,2018.0,1.0,2024-08-12,aaronmbtw
The Accountant,2016.0,0.3333333333333333,2024-08-17,aaronmbtw
Cocaine Bear,2023.0,0.3333333333333333,2024-08-23,aaronmbtw
Past Lives,2023.0,1.0,2024-08-23,aaronmbtw
Joker: Folie à Deux,2024.0,0.2222222222222222,2024-10-05,aaronmbtw
The Substance,2024.0,0.7777777777777778,2024-10-20,aaronmbtw
Thesis,1996.0,0.5555555555555556,2025-01-23,aaronmbtw
Queer,2024.0,0.5555555555555556,2025-01-25,aaronmbtw
"Synecdoche, New York",2008.0,0.8888888888888888,2025-01-30,aaronmbtw
Climax,2018.0,0.3333333333333333,2025-02-08,aaronmbtw
