title_normalized,title_original,tmdb_id,year,director,tmdb_genres,overview,country,nanogenres,themes,lb_url
once upon a time... in hollywood,Once Upon a Time... in Hollywood,466272,2019,Quentin Tarantino,Comedy|Drama|Thriller,"Los Angeles, 1969. TV star Rick Dalton, a struggling actor specializing in westerns, and stuntman Cliff Booth, his best friend, try to survive in a constantly changing movie industry. Dalton is the neighbor of the young and promising actress and model Sharon Tate, who has just married the prestigious Polish director Roman Polanski…",CN,"Gory, Brutal, Extreme|Cliche, Intense, Extreme|1960s, Hippies, Peace|Comedy, Predictable, Intelligent|Funny, Weird, Crazy|Blood, Exciting, Death|Feelings, Moving, Soul|Killing, Shootings, Extreme|Friendship, Fame, Real-Life|Driving, America, Culture",driver|life|prison|brother|car,https://boxd.it/gH0O
parasite,Parasite,496243,2019,Bong Joon Ho,Comedy|Thriller|Drama,"All unemployed, Ki-taek's family takes peculiar interest in the wealthy and glamorous Parks for their livelihood until they get entangled in an unexpected incident.",KR,"Humorous, Unpredictable, Unexpected|Emotion, Class, Conflict|Slapstick, Predictable, Silly|Feelings, Asia, Climax|Emotional, Shock, Extreme|Feelings, Happiness, Naive|Humorous, Intelligent, Satire|Witty, Thought-Provoking, Moral|Emotional, Family, Conflict|Powerful, Child, Despair",vampire|life|young|dracula|tokyo,https://boxd.it/hTha
donnie darko,Donnie Darko,141,2001,Richard Kelly,Fantasy|Drama|Mystery,"After narrowly escaping a bizarre accident, a troubled teenager is plagued by visions of a large bunny rabbit that manipulates him to commit a series of crimes.",US,"Weird, Disturbing, Intriguing|Kids, Fantasy, Adventure|Thriller, Creepy, Shock|Terrifying, Madness, Psychological|Relationships, Complicated, Revelation|Terrifying, Confused, Intriguing|Drama, Disturbed, Confusion|Suspense, Confused, Discover|Weird, Dark, Crazy|Weird, Confusing, Confusion",old|mother|year|family|girl,https://boxd.it/2b2A
uncut gems,Uncut Gems,473033,2019,Benny Safdie|Josh Safdie,Drama|Thriller|Crime,"A charismatic New York City jeweler always on the lookout for the next big score makes a series of high-stakes bets that could lead to the windfall of a lifetime. Howard must perform a precarious high-wire act, balancing business, family, and encroaching adversaries on all sides in his relentless pursuit of the ultimate win.",US,"Friendship, Girlfriend, Cringe|Gangster, Violence, Drama|Friendship, Compelling, Riveting|Driving, Exciting, Chasing|Comedian, Silly, Genius|Gangster, Complicated, 1990s|Suspense, Crime, Shootings|Drama, Sympathy, Complicated|Girlfriend, Intriguing, Depressing|Weird, Extreme, Vision",driver|life|prison|brother|car,https://boxd.it/gXGc
mia and the white lion,Mia and the White Lion,498248,2018,Gilles de Maistre,Adventure|Family|Drama,A young girl from London moves to Africa with her parents where she befriends a lion cub.,ZA,"Emotional, Child, Wild|Killing, Cruel, Environment|Cute, Dog, Animals|Relationships, Families, Child|Family, Heartwarming, Joy|Tear-Jerker, Humans, Environment|Powerful, Journey, Fate|Drama, Moving, Complex|Heartfelt, Joy, Authentic|Heartfelt, Families, Crying",princess|fairy|kingdom|evil|prince,https://boxd.it/hYC8
bohemian rhapsody,Bohemian Rhapsody,424694,2018,Bryan Singer,Music|Drama,"Singer Freddie Mercury, guitarist Brian May, drummer Roger Taylor and bass guitarist John Deacon take the music world by storm when they form the rock 'n' roll band Queen in 1970. Hit songs become instant classics. When Mercury's increasingly wild lifestyle starts to spiral out of control, Queen soon faces its greatest challenge yet – finding a way to keep the band together amid the success and excess.",US,"Singing, Tear-Jerker, Loves|Band, Poignant, Passion|Band, Lyrics, Fame|Songs, Genius, 1970s|Musician, Musical, Popular|Singing, Smile, Lucky|Musical, Biography, Voices|Songs, Culture, Popular|Relationships, Heartbreaking, Troubled|Friendship, Loves, Girlfriend",film|life|music|documentary|album,https://boxd.it/f1TK
the nice guys,The Nice Guys,290250,2016,Shane Black,Comedy|Crime|Action,A private eye investigates the apparent suicide of a fading porn star in 1970s Los Angeles and uncovers a conspiracy.,US,"Hilarious, Detective, Partner|Comedy, Solving, Crazy|Slapstick, Detectives, Buddy|Emotional, Disturbing, Intriguing|Funny, Bumbling, Unexpected|Wit, Chuckles, Hysterical|Gag, Wit, Cute|Slapstick, Silly, One-Liners|Cool, Action-Packed, Danger|Slapstick, Laugh-Out-Loud, Comical",film|life|music|documentary|album,https://boxd.it/94Hg
birdman or (the unexpected virtue of ignorance),Birdman or (The Unexpected Virtue of Ignorance),194662,2014,Alejandro G. Iñárritu,Drama|Comedy,"A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.",US,"Amusing, Bizarre, Satire|Cry, Quirky, Loves|Amusing, Girlfriend, Ensemble|Cool, Excitement, Gripping|Dark, Fears, Overcome|Emotion, Intriguing, Vulnerable|Witty, Depressing, Cynical|Jokes, Surreal, Inventive|Hilarious, Cliche, Smile|Society, Intellectual, Daring",film|life|music|documentary|album,https://boxd.it/5RFA
the platform,The Platform,619264,2019,Galder Gaztelu-Urrutia,Drama|Science Fiction|Thriller,"A slab of food descends down a vertical facility. The residents above eat heartily, leaving those below starving and desperate. A rebellion is imminent.",ES,"Brutal, Extreme, Thought-Provoking|Terrifying, Extreme, Confused|Scary, Graphic, Tense|Horror, Disgusting, Nasty|Future, Thought-Provoking, Philosophical|Weird, Madness, Twisted|Gory, Disturbing, Guessing|Guessing, Thought-Provoking, Confusion|Chilling, Claustrophobia, Fear|Powerful, Unsettling, Fear",group|killer|town|school|young,https://boxd.it/mUm6
the house that jack built,The House That Jack Built,398173,2018,Lars von Trier,Drama|Horror|Crime|Thriller,"Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years.",DK,"Blood, Disturbing, Psychopath|Killing, Shock, Bizarre|Scary, Murder, Bodies|Murder, Terror, Disturbing|Shock, Twisted, Insanity|Unsettling, Disturbed, Horrific|Murderer, Compelling, Sympathy|Murderer, Bloody, Brutality|Killing, Horrifying, Twisted|Disturbing, Storytelling, Confusing",murder|man|case|killer|detective,https://boxd.it/dWO4
